Calltime,Nature,CloseCode,Street,Month,Day of Week,Incident ID,Case ID,,
11/5/2014  10:35:00 AM,DOMESTIC DISTURBANCE IP,1,404 GREER AV,November,4 ,2014136732,201433186,,
11/5/2014  1:04:36 AM,DOMESTIC DISTURBANCE IP,1,1102 GARRISON ST,November,4 ,2014136600,201433154,,
11/4/2014  8:23:51 PM,DOMESTIC DISTURBANCE IP,2,618 HICKORY CHAPEL RD,November,3 ,2014136537,201433137,, 
11/4/2014  6:56:29 PM,DOMESTIC DISTURBANCE,4,707 KROLL LN,November,3 ,2014136512,,,
11/4/2014  3:58:57 PM,DOMESTIC DISTURBANCE IP,1,2610 PLAZA CT,November,3 ,2014136450,201433118,,
11/4/2014  12:42:53 PM,DOMESTIC DISTURBANCE IP,1,3624 AKERS CT,November,3 ,2014136367,201433083,,
11/4/2014  9:06:15 AM,DOMESTIC DISTURBANCE,1,920 FORREST ST,November,3 ,2014136276,201433064,,
11/4/2014  8:22:07 AM,DOMESTIC DISTURBANCE,1,2519-E AMBASSADOR CT,November,3 ,2014136256,201433054,,
11/4/2014  7:46:44 AM,DOMESTIC DISTURBANCE,2,3012 MANCHESTER DR,November,3 ,2014136237,201433061,,
11/4/2014  1:15:06 AM,DOMESTIC DISTURBANCE,3,1016 GRACE ST,November,3 ,2014136203,201433040,,
11/4/2014  1:00:43 AM,DOMESTIC DISTURBANCE IP,1,518 PARK TE,November,3 ,2014136200,201433039,,
11/4/2014  12:51:47 AM,DOMESTIC DISTURBANCE,8,901 JEFFERSON ST,November,3 ,2014136197,,,
11/4/2014  12:27:15 AM,DOMESTIC DISTURBANCE IP,1,2602 BEDFORD ST,November,3 ,2014136190,201433036,,
11/3/2014  11:59:25 PM,DOMESTIC DISTURBANCE IP,2,303 OAKWOOD ST,November,2 ,2014136184,201433034,,
11/3/2014  10:37:07 PM,DOMESTIC DISTURBANCE IP,1,115-E OAKWOOD ST,November,2 ,2014136163,201433019,,
11/3/2014  9:55:07 PM,DOMESTIC DISTURBANCE,3,1615-D BROCKETT AV,November,2 ,2014136145,201433016,,
11/3/2014  9:17:11 PM,DOMESTIC DISTURBANCE,4,217-14 N LINDSAY ST,November,2 ,2014136129,,,
11/3/2014  8:58:22 PM,DOMESTIC DISTURBANCE IP,1,301 SKEET CLUB RD,November,2 ,2014136125,201433009,,
11/3/2014  8:33:52 PM,DOMESTIC DISTURBANCE IP,1,5010-1F SAMET DR,November,2 ,2014136115,201433006,,
11/3/2014  8:20:30 PM,DOMESTIC DISTURBANCE IP,1,3945 FOUNTAIN VILLAGE LN,November,2 ,2014136111,201433004,,
11/3/2014  7:36:23 PM,DOMESTIC DISTURBANCE,4,311 KENNEDY AV,November,2 ,2014136102,,,
11/3/2014  7:27:49 PM,DOMESTIC DISTURBANCE IP,1,301 SKEET CLUB RD,November,2 ,2014136100,201433001,,
11/3/2014  6:43:26 PM,DOMESTIC DISTURBANCE IP,1,6310-3H LONG LEAF CT,November,2 ,2014136085,201432994,,
11/3/2014  5:26:10 PM,DOMESTIC DISTURBANCE,4,2199 EDGEWOOD DR/N WARD AV,November,2 ,2014136054,,,
11/3/2014  5:15:41 PM,DOMESTIC DISTURBANCE IP,1,400 N CENTENNIAL ST,November,2 ,2014136049,201432986,,
11/3/2014  4:52:39 PM,DOMESTIC DISTURBANCE,5,208 E RAY AV,November,2 ,2014136034,,,
11/3/2014  4:40:56 PM,DOMESTIC DISTURBANCE,4,105 THOMAS ST,November,2 ,2014136028,,,
11/3/2014  4:11:27 PM,DOMESTIC DISTURBANCE,4,1432 BRAGG CT,November,2 ,2014136018,,,
11/3/2014  2:05:51 PM,DOMESTIC DISTURBANCE,1,3226 WELLINGFORD DR,November,2 ,2014135949,201432967,,
11/3/2014  9:51:54 AM,DOMESTIC DISTURBANCE IP,1,2756 GATEWORTH DR,November,2 ,2014135788,201432922,,
11/3/2014  8:42:20 AM,DOMESTIC DISTURBANCE,1,2370-1B BELLEMEADE ST,November,2 ,2014135737,201432906,,
11/3/2014  7:22:18 AM,DOMESTIC DISTURBANCE,1,2526-D SUFFOLK AV,November,2 ,2014135704,201432891,,
11/2/2014  7:47:41 PM,DOMESTIC DISTURBANCE,3,1503 HICKORY CT,November,1 ,2014135567,201432849,,
11/2/2014  4:55:27 PM,DOMESTIC DISTURBANCE,8,1311 FOUST AV,November,1 ,2014135521,,,
11/2/2014  4:05:04 PM,DOMESTIC DISTURBANCE IP,1,3010 S MAIN ST,November,1 ,2014135508,201432831,,
11/2/2014  2:36:27 PM,DOMESTIC DISTURBANCE IP,1,4506-1F CROWNE LAKE CI,November,1 ,2014135473,201432824,,
11/2/2014  2:16:51 PM,DOMESTIC DISTURBANCE,4,2702 WILLARD RD,November,1 ,2014135462,,,
11/2/2014  8:56:34 AM,DOMESTIC DISTURBANCE,4,1505 CEDROW DR,November,1 ,2014135367,,,
11/2/2014  6:28:44 AM,DOMESTIC DISTURBANCE IP,1,3307 SPARROWHAWK DR,November,1 ,2014135338,201432781,,
11/2/2014  3:18:24 AM,DOMESTIC DISTURBANCE IP,2,1602 FOWLER PL,November,1 ,2014135312,201432776,,
11/2/2014  1:25:25 AM,DOMESTIC DISTURBANCE IP,2,1610 LINCOLN DR,November,1 ,2014135278,201432770,,
11/2/2014  1:24:27 AM,DOMESTIC DISTURBANCE IP,1,700 WESTCHESTER DR,November,1 ,2014135277,201432771,,
11/2/2014  1:24:02 AM,DOMESTIC DISTURBANCE IP,2,3747 LAUREL BLUFF CI,November,1 ,2014135287,201432772,,
11/2/2014  1:17:43 AM,DOMESTIC DISTURBANCE,4,1001 GRANBY AV,November,1 ,2014135275,,,
11/1/2014  11:30:40 PM,DOMESTIC DISTURBANCE IP,5,1033-B PEGRAM AV,November,7 ,2014135239,,,
11/1/2014  11:24:23 PM,DOMESTIC DISTURBANCE IP,4,1451 N HAMILTON ST,November,7 ,2014135234,201432765,,
11/1/2014  10:42:18 PM,DOMESTIC DISTURBANCE IP,1,318 ARDALE DR,November,7 ,2014135204,201432757,,
11/1/2014  10:01:06 PM,DOMESTIC DISTURBANCE IP,1,1033-B PEGRAM AV,November,7 ,2014135189,201432755,,
11/1/2014  9:39:49 PM,DOMESTIC DISTURBANCE,4,799 BAKER RD/KNIGHTDALE AV,November,7 ,2014135182,,,
11/1/2014  4:21:31 PM,DOMESTIC DISTURBANCE IP,1,1602-H LONG ST,November,7 ,2014135085,201432722,,
11/1/2014  3:18:04 PM,DOMESTIC DISTURBANCE IP,1,1602-H LONG ST,November,7 ,2014135064,201432722,,
11/1/2014  11:45:36 AM,DOMESTIC DISTURBANCE IP,1,1701 STONEYBROOK DR,November,7 ,2014135004,201432709,,
11/1/2014  11:22:45 AM,DOMESTIC DISTURBANCE IP,1,1418 WELBORN ST,November,7 ,2014134999,201432708,,
11/1/2014  5:23:11 AM,DOMESTIC DISTURBANCE,8,599 W GRIMES AV/GRAYSON ST,November,7 ,2014134915,,,
11/1/2014  2:35:36 AM,DOMESTIC DISTURBANCE IP,1,907 NORSE ST,November,7 ,2014134892,201432689,,
11/1/2014  1:41:55 AM,DOMESTIC DISTURBANCE,6,1704 LONG ST,November,7 ,2014134874,,,
11/1/2014  1:11:18 AM,DOMESTIC DISTURBANCE,6,1704 LONG ST,November,7 ,2014134870,,,
11/1/2014  12:37:14 AM,DOMESTIC DISTURBANCE,4,612 SOUTH RD,November,7 ,2014134858,,,
11/1/2014  12:21:46 AM,DOMESTIC DISTURBANCE IP,1,2219 S MAIN ST,November,7 ,2014134850,201432681,,
10/31/2014  10:06:19 PM,DOMESTIC DISTURBANCE,4,601 HEDRICK AV,October,6 ,2014134794,,,
10/31/2014  9:55:17 PM,DOMESTIC DISTURBANCE IP,1,2013 W ROTARY DR,October,6 ,2014134792,201432667,,
10/31/2014  9:13:21 PM,DOMESTIC DISTURBANCE IP,2,1003 RICHLAND ST,October,6 ,2014134774,201432670,,
10/31/2014  8:49:27 PM,DOMESTIC DISTURBANCE IP,2,1713 LINCOLN DR,October,6 ,2014134762,201432665,,
10/31/2014  8:19:53 PM,DOMESTIC DISTURBANCE,4,708-A WESTCHESTER DR,October,6 ,2014134750,,,
10/31/2014  5:33:27 PM,DOMESTIC DISTURBANCE IP,1,212 MONTLIEU AV,October,6 ,2014134678,201432649,,
10/31/2014  4:28:02 PM,DOMESTIC DISTURBANCE,4,2630 S MAIN ST,October,6 ,2014134649,,,
10/31/2014  1:39:06 PM,DOMESTIC DISTURBANCE IP,1,907 EXTRAORDINARY WY,October,6 ,2014134576,201432629,,
10/31/2014  1:20:02 PM,DOMESTIC DISTURBANCE,4,203 GRICLAR ST,October,6 ,2014134570,,,
10/31/2014  9:41:03 AM,DOMESTIC DISTURBANCE IP,1,3561-2C RAMSAY ST,October,6 ,2014134463,201432598,,
10/31/2014  2:56:00 AM,DOMESTIC DISTURBANCE IP,1,114 N HALL ST,October,6 ,2014134379,201432582,,
10/30/2014  11:34:27 PM,DOMESTIC DISTURBANCE,5,1418-BLK R C BALDWIN AV,October,5 ,2014134341,,,
10/30/2014  10:18:27 PM,DOMESTIC DISTURBANCE IP,1,1511-B WAVERLY ST,October,5 ,2014134317,201432571,,
10/30/2014  9:51:26 PM,DOMESTIC DISTURBANCE,4,3217 ROLLING RD,October,5 ,2014134305,,,
10/30/2014  8:27:54 PM,DOMESTIC DISTURBANCE,6,2519-E AMBASSADOR CT,October,5 ,2014134282,,,
10/29/2014  8:35:09 PM,DOMESTIC DISTURBANCE,4,610-3D CLARA COX WY,October,4 ,2014133861,,,
10/29/2014  8:10:31 PM,DOMESTIC DISTURBANCE,1,1511-B WAVERLY ST,October,4 ,2014133855,201432459,,
10/29/2014  7:45:43 PM,DOMESTIC DISTURBANCE,1,4839 W WENDOVER AV,October,4 ,2014133845,201432458,,
10/29/2014  7:15:39 PM,DOMESTIC DISTURBANCE IP,1,3218 ROCKINGHAM RD,October,4 ,2014133839,201432454,,
10/29/2014  7:02:10 PM,DOMESTIC DISTURBANCE,4,209-B VAIL AV,October,4 ,2014133836,,,
10/29/2014  5:28:18 PM,DOMESTIC DISTURBANCE IP,1,1021 N MANOR DR,October,4 ,2014133810,201432448,,
10/29/2014  3:21:59 PM,DOMESTIC DISTURBANCE IP,2,299 W KIVETT DR/N ELM ST,October,4 ,2014133757,201432438,,
10/29/2014  12:10:02 PM,DOMESTIC DISTURBANCE,4,811 W LEXINGTON AV,October,4 ,2014133670,,,
10/29/2014  6:57:27 AM,DOMESTIC DISTURBANCE,4,208-B WINDLEY ST,October,4 ,2014133553,,,
10/29/2014  6:25:05 AM,DOMESTIC DISTURBANCE IP,1,1290-2C BURTON AV,October,4 ,2014133545,201432376,,
10/29/2014  3:02:36 AM,DOMESTIC DISTURBANCE IP,1,1004 CHARLOTTE AV,October,4 ,2014133520,201432372,,
10/29/2014  2:04:39 AM,DOMESTIC DISTURBANCE IP,1,301-B HENLEY ST,October,4 ,2014133513,201432367,,
10/29/2014  1:54:18 AM,DOMESTIC DISTURBANCE,4,2512-A AMBASSADOR CT,October,4 ,2014133510,,,
10/29/2014  1:01:07 AM,DOMESTIC DISTURBANCE,6,821 DOGWOOD CI,October,4 ,2014133504,,,
10/29/2014  12:24:51 AM,DOMESTIC DISTURBANCE,4,1010 ADAMS ST,October,4 ,2014133501,,,
10/28/2014  11:59:02 PM,DOMESTIC DISTURBANCE IP,1,1004 CHARLOTTE AV,October,3 ,2014133494,201432368,,
10/28/2014  9:02:46 PM,DOMESTIC DISTURBANCE,2,4306 KIRKSTONE DR,October,3 ,2014133447,201432361,,
10/28/2014  8:24:30 PM,DOMESTIC DISTURBANCE IP,2,2519-D SUFFOLK AV,October,3 ,2014133439,201432356,,
10/28/2014  5:23:51 PM,DOMESTIC DISTURBANCE,8,1004 CHARLOTTE AV,October,3 ,2014133378,,,
10/28/2014  5:12:36 PM,DOMESTIC DISTURBANCE,4,109 N HALL ST,October,3 ,2014133376,,,
10/28/2014  1:17:36 PM,DOMESTIC DISTURBANCE IP,1,815 FAIRVIEW ST,October,3 ,2014133252,201432310,,
10/28/2014  12:58:37 PM,DOMESTIC DISTURBANCE,4,606 E KEARNS AV,October,3 ,2014133240,,,
10/28/2014  12:22:43 PM,DOMESTIC DISTURBANCE IP,1,3900 BANBRIDGE DR,October,3 ,2014133220,201432302,,
10/28/2014  10:09:38 AM,DOMESTIC DISTURBANCE IP,1,120-1B E SWATHMORE AV,October,3 ,2014133156,201432290,,
10/28/2014  9:19:31 AM,DOMESTIC DISTURBANCE,4,1424 N HAMILTON ST,October,3 ,2014133136,,,
10/28/2014  7:37:52 AM,DOMESTIC DISTURBANCE,4,603 EVERETT LN,October,3 ,2014133072,,,
10/28/2014  5:15:47 AM,DOMESTIC DISTURBANCE,1,312 ARDALE DR,October,3 ,2014133039,201432259,,
10/28/2014  1:20:22 AM,DOMESTIC DISTURBANCE IP,1,211-B DOROTHY ST,October,3 ,2014133015,201432253,,
10/28/2014  12:26:52 AM,DOMESTIC DISTURBANCE IP,1,515-A E COMMERCE AV,October,3 ,2014132998,201432250,,
10/27/2014  11:43:24 PM,DOMESTIC DISTURBANCE,5,2146-E CHESTER RIDGE DR,October,2 ,2014132991,,,
10/27/2014  9:13:39 PM,DOMESTIC DISTURBANCE IP,1,5030-2B SAMET DR,October,2 ,2014132942,201432231,,
10/27/2014  8:24:20 PM,DOMESTIC DISTURBANCE,4,510 ASHBURN ST,October,2 ,2014132931,,,
10/27/2014  6:37:26 PM,DOMESTIC DISTURBANCE,4,1311 FOUST AV,October,2 ,2014132902,,,
10/27/2014  6:22:04 PM,DOMESTIC DISTURBANCE,4,213 ELMHURST AV,October,2 ,2014132896,,,
10/27/2014  3:05:33 PM,DOMESTIC DISTURBANCE IP,1,507 DENNY ST,October,2 ,2014132812,201432204,,
10/27/2014  1:34:41 PM,DOMESTIC DISTURBANCE,4,1810 BROCKETT AV,October,2 ,2014132769,,,
10/27/2014  12:16:44 PM,DOMESTIC DISTURBANCE,4,423 AMBERLY DR,October,2 ,2014132730,,,
10/27/2014  11:54:32 AM,DOMESTIC DISTURBANCE,4,604 E KEARNS AV,October,2 ,2014132721,,,
10/27/2014  9:36:23 AM,DOMESTIC DISTURBANCE,2,605 ARLINGTON ST,October,2 ,2014132672,201432185,,
10/27/2014  6:15:34 AM,DOMESTIC DISTURBANCE IP,2,6348 MARY LEE WY,October,2 ,2014132611,201432167,,
10/26/2014  9:03:37 PM,DOMESTIC DISTURBANCE,4,1202-B FURLOUGH AV,October,1 ,2014132518,,,
10/26/2014  8:53:15 PM,DOMESTIC DISTURBANCE IP,2,2419-2D FRANCIS ST,October,1 ,2014132517,201432136,,
10/26/2014  7:36:15 PM,DOMESTIC DISTURBANCE,1,3007 INGLESIDE DR,October,1 ,2014132491,201432129,,
10/26/2014  6:27:52 PM,DOMESTIC DISTURBANCE IP,1,1813 BRENTWOOD ST,October,1 ,2014132472,201432124,,
10/26/2014  4:24:01 PM,DOMESTIC DISTURBANCE IP,2,6145-1H RED CEDAR DR,October,1 ,2014132428,201432117,,
10/26/2014  12:59:46 PM,DOMESTIC DISTURBANCE,4,1110 BRIDGES DR,October,1 ,2014132364,,,
10/26/2014  12:56:18 PM,DOMESTIC DISTURBANCE IP,1,3945 FOUNTAIN VILLAGE LN,October,1 ,2014132361,201432102,,
10/26/2014  9:08:22 AM,DOMESTIC DISTURBANCE IP,2,223 DOROTHY ST,October,1 ,2014132284,201432076,,
10/26/2014  4:05:40 AM,DOMESTIC DISTURBANCE IP,1,311-B COLTRANE AV,October,1 ,2014132245,201432062,,
10/26/2014  12:28:30 AM,DOMESTIC DISTURBANCE,4,1728 GAVIN DR,October,1 ,2014132199,,,
10/26/2014  12:20:56 AM,DOMESTIC DISTURBANCE IP,1,808-B CLIFFSIDE AV,October,1 ,2014132196,201432046,,
10/25/2014  11:29:45 PM,DOMESTIC DISTURBANCE IP,1,502-A NEWTON PL,October,7 ,2014132172,201432036,,
10/25/2014  11:16:37 PM,DOMESTIC DISTURBANCE IP,1,808-B CLIFFSIDE AV,October,7 ,2014132169,201432034,,
10/25/2014  10:19:42 PM,DOMESTIC DISTURBANCE IP,1,615 THREE OAKS DR,October,7 ,2014132137,201432023,,
10/25/2014  9:20:41 PM,DOMESTIC DISTURBANCE,4,1311 FOUST AV,October,7 ,2014132118,,,
10/25/2014  8:07:49 PM,DOMESTIC DISTURBANCE,1,2416 E LEXINGTON AV,October,7 ,2014132089,201432008,,
10/25/2014  1:20:43 PM,DOMESTIC DISTURBANCE IP,1,1150-F ROBERTS LN,October,7 ,2014131963,201431985,,
10/25/2014  7:09:51 AM,DOMESTIC DISTURBANCE IP,3,425 TATE ST,October,7 ,2014131825,201431941,,
10/25/2014  5:02:00 AM,DOMESTIC DISTURBANCE,3,841 PUTNAM ST,October,7 ,2014131812,201431938,,
10/25/2014  4:40:32 AM,DOMESTIC DISTURBANCE,1,841 PUTNAM ST,October,7 ,2014131810,201431937,,
10/25/2014  2:22:46 AM,DOMESTIC DISTURBANCE,4,2521-J AMBASSADOR CT,October,7 ,2014131780,,,
10/25/2014  1:32:20 AM,DOMESTIC DISTURBANCE IP,1,2910 W ENGLISH RD,October,7 ,2014131773,201431930,,
10/25/2014  12:42:33 AM,DOMESTIC DISTURBANCE IP,2,609 GRAND ST,October,7 ,2014131767,201431927,,
10/24/2014  11:00:25 PM,DOMESTIC DISTURBANCE,5,2002 STONEYCREEK DR,October,6 ,2014131736,,,
10/24/2014  10:48:29 PM,DOMESTIC DISTURBANCE,8,205 SEASHIRE CT,October,6 ,2014131731,,,
10/24/2014  10:01:37 PM,DOMESTIC DISTURBANCE,4,105 THOMAS ST,October,6 ,2014131709,,,
10/24/2014  9:28:45 PM,DOMESTIC DISTURBANCE IP,1,710 BARBEE AV,October,6 ,2014131692,201431909,,
10/24/2014  8:31:08 PM,DOMESTIC DISTURBANCE IP,2,601 SUNSET DR,October,6 ,2014131670,201431905,,
10/24/2014  7:52:52 PM,DOMESTIC DISTURBANCE,5,927-B SOUTH RD,October,6 ,2014131654,,,
10/24/2014  6:35:19 PM,DOMESTIC DISTURBANCE IP,1,610-2C CLARA COX WY,October,6 ,2014131625,201431895,,
10/24/2014  5:31:58 PM,DOMESTIC DISTURBANCE,4,1312 DARTMOUTH AV,October,6 ,2014131597,,,
10/24/2014  3:23:43 PM,DOMESTIC DISTURBANCE IP,1,105 HODGIN ST,October,6 ,2014131548,201431875,,
10/24/2014  1:34:43 PM,DOMESTIC DISTURBANCE IP,1,1114 EASTCHESTER DR,October,6 ,2014131498,201431858,,
10/24/2014  12:19:21 PM,DOMESTIC DISTURBANCE IP,1,105 HODGIN ST,October,6 ,2014131469,201431851,,
10/24/2014  11:17:58 AM,DOMESTIC DISTURBANCE,8,213-F DOROTHY ST,October,6 ,2014131435,,,
10/24/2014  9:53:14 AM,DOMESTIC DISTURBANCE,4,3813 EAGLES VIEW CT,October,6 ,2014131382,,,
10/23/2014  11:24:37 PM,DOMESTIC DISTURBANCE IP,1,205 EASTCHESTER DR,October,5 ,2014131242,201431779,,
10/23/2014  4:53:06 PM,DOMESTIC DISTURBANCE IP,1,116-B N HOSKINS ST,October,5 ,2014131099,201431747,,
10/23/2014  4:14:34 PM,DOMESTIC DISTURBANCE,4,501 STEELE ST,October,5 ,2014131080,,,
10/23/2014  1:11:21 PM,DOMESTIC DISTURBANCE,3,301-A OAKWOOD ST,October,5 ,2014130997,201431720,,
10/23/2014  12:29:12 AM,DOMESTIC DISTURBANCE,4,1602 E GREEN DR,October,5 ,2014130815,,,
10/22/2014  11:40:30 PM,DOMESTIC DISTURBANCE,4,129-G W HARTLEY DR,October,4 ,2014130808,,,
10/22/2014  10:52:07 PM,DOMESTIC DISTURBANCE IP,1,3601-3B MALDON WY,October,4 ,2014130793,201431682,,
10/22/2014  10:02:31 PM,DOMESTIC DISTURBANCE,4,209 ALLRED PL,October,4 ,2014130786,,,
10/22/2014  9:29:58 PM,DOMESTIC DISTURBANCE IP,1,703-B THISSELL ST,October,4 ,2014130774,201431681,,
10/22/2014  9:07:50 PM,DOMESTIC DISTURBANCE IP,1,307 ROCKSPRING RD,October,4 ,2014130762,201431675,,
10/21/2014  11:30:52 PM,DOMESTIC DISTURBANCE,8,911 W FAIRFIELD RD,October,3 ,2014130389,,,
10/21/2014  11:04:10 PM,DOMESTIC DISTURBANCE,4,2528-P SUFFOLK AV,October,3 ,2014130383,,,
10/21/2014  9:32:15 PM,DOMESTIC DISTURBANCE,4,2528-P SUFFOLK AV,October,3 ,2014130356,,,
10/21/2014  7:28:39 PM,DOMESTIC DISTURBANCE,8,1103 PERSHING ST,October,3 ,2014130313,,,
10/21/2014  6:47:22 PM,DOMESTIC DISTURBANCE IP,1,338 WINGO ST,October,3 ,2014130302,201431559,,
10/21/2014  6:06:13 PM,DOMESTIC DISTURBANCE IP,4,206-C TAYLOR AV,October,3 ,2014130291,,,
10/21/2014  4:49:12 PM,DOMESTIC DISTURBANCE IP,1,3530 N MAIN ST,October,3 ,2014130263,201431547,,
10/21/2014  1:50:43 PM,DOMESTIC DISTURBANCE,4,611 ARCH ST,October,3 ,2014130187,,,
10/21/2014  10:21:22 AM,DOMESTIC DISTURBANCE IP,1,1399 N COLLEGE DR/E LEXINGTON AV,October,3 ,2014130093,201431509,,
10/21/2014  10:08:25 AM,DOMESTIC DISTURBANCE IP,4,524 E DAYTON AV,October,3 ,2014130085,,,
10/21/2014  9:34:32 AM,DOMESTIC DISTURBANCE IP,1,1116 GRACE ST,October,3 ,2014130074,201431505,,
10/21/2014  8:07:53 AM,DOMESTIC DISTURBANCE IP,1,304 VAIL AV,October,3 ,2014130052,201431499,,
10/21/2014  6:11:22 AM,DOMESTIC DISTURBANCE,4,527 RADFORD ST,October,3 ,2014130029,,,
10/21/2014  3:36:12 AM,DOMESTIC DISTURBANCE,8,606 WASHINGTON ST,October,3 ,2014130022,,,
10/21/2014  1:39:19 AM,DOMESTIC DISTURBANCE IP,1,2708 ALLEN JAY RD,October,3 ,2014130011,201431488,,
10/21/2014  12:37:04 AM,DOMESTIC DISTURBANCE,8,524 E DAYTON AV,October,3 ,2014130004,,,
10/21/2014  12:27:22 AM,DOMESTIC DISTURBANCE IP,2,1499 BOUNDARY AV/ASHBURN ST,October,3 ,2014130002,201431487,,
10/21/2014  12:13:09 AM,DOMESTIC DISTURBANCE IP,1,920 FORREST ST,October,3 ,2014129997,201431484,,
10/20/2014  7:50:35 PM,DOMESTIC DISTURBANCE,4,208 ANAHEIM ST,October,2 ,2014129923,,,
10/20/2014  7:36:07 PM,DOMESTIC DISTURBANCE,5,1345 N MAIN ST,October,2 ,2014129916,,,
10/20/2014  6:35:14 PM,DOMESTIC DISTURBANCE,4,805 CENTRAL CT,October,2 ,2014129888,,,
10/20/2014  6:30:38 PM,DOMESTIC DISTURBANCE,8,815 FAIRVIEW ST,October,2 ,2014129885,,,
10/20/2014  6:07:25 PM,DOMESTIC DISTURBANCE,4,3512 STONEHURST PL,October,2 ,2014129879,,,
10/20/2014  6:06:15 PM,DOMESTIC DISTURBANCE,4,813 HOPEWELL ST,October,2 ,2014129877,,,
10/20/2014  4:41:06 PM,DOMESTIC DISTURBANCE,4,3244 LOFTYVIEW DR,October,2 ,2014129848,,,
10/20/2014  4:18:56 PM,DOMESTIC DISTURBANCE IP,2,300-A PHILLIPS AV,October,2 ,2014129842,201431444,,
10/20/2014  2:39:33 PM,DOMESTIC DISTURBANCE IP,1,2299 E GREEN DR/BRENTWOOD ST,October,2 ,2014129799,201431431,,
