812 GRAND ST, 27262, SingleFamily, 1926, 5227, 720, 36230
307 BEACH ST, 27260, SingleFamily, 2006, 6970, 1134, 71367
3761 LAUREL BLUFF CI, , , , , , 
300-1A OAKWOOD ST, , , , , , 
419 CAREY AV, 27262, SingleFamily, 1953, 8712, 962, 59021
1607-B LINCOLN DR, , , , , , 
205-D TYSON CT, 27263, MultiFamily2To4, 1985, 40000, 10176, 534282
2929 TRIANGLE LAKE RD/PARAMOUNT ST, , , , , , 
1405 LEONARD AV, 27260, SingleFamily, 1936, 6534, 864, 37681
1195-1C GLENSTONE TR, , , , , , 
1211-C N MAIN ST, 27262, Condominium, 1938, 435, 738, 53773
1320 CAMDEN AV, 27260, SingleFamily, 1960, 7405, 875, 43608
802 W PARKWAY AV, 27262, SingleFamily, 1952, 15246, 2092, 176118
412 MEREDITH ST, 27260, SingleFamily, 1959, 7405, 1648, 56281
506 NEWTON PL, 27262, SingleFamily, 1902, 11326, 1498, 53647
208 TAYLOR AV, 27260, SingleFamily, , 16117, , 47528
1502 HICKORY CT, 27265, SingleFamily, 1972, 13068, 1700, 88988
1230-3B GLENSTONE TR, , , , , , 
2848 NC 68/PIEDMONT PW, , , , , , 
1205-3A GLENSTONE TR, , , , , , 
1005-A GARRISON ST, 27260, SingleFamily, 1948, 7405, 1166, 58338
2201 N MAIN ST, , , , , , 
1220 PEARSON PL, 27260, SingleFamily, 1991, 5663, 960, 40815
1112 CARTER ST, 27260, SingleFamily, 1967, 8712, 910, 39733
3903 KIM DR, 27265, SingleFamily, 1985, 20038, 1644, 134630
701 THISSELL ST, 27260, SingleFamily, 1926, 7405, 1028, 37775
1446 BAILEY CI, , , , , , 
310 AVERY AV, 27265, SingleFamily, 1999, 6534, 1204, 77457
1005 JEFFERSON ST, 27260, SingleFamily, 1971, 6969, 1048, 50555
3011-I INGLESIDE DR, 27265, Condominium, , , 957, 87297
1118 CAMDEN AV, 27260, SingleFamily, 1963, 8712, 1000, 46422
1803 STONEYBROOK DR, 27265, SingleFamily, 1972, 20540, 2151, 122427
1013 W GREEN DR, 27260, SingleFamily, 1920, 6534, 780, 37498
723-E S SCIENTIFIC ST, , , , , , 
1618 CULLER PL, 27260, SingleFamily, 1920, 11761, 896, 38171
1201 DAY PL, 27260, SingleFamily, 1930, 6970, 1246, 41383
6109-3C HEDGECOCK CI, , , , , , 
1201 ASHEBORO ST, 27260, SingleFamily, 2009, 6970, 1040, 46732
1733-3H ABBERTON WY, , , , , , 
525 NATHAN HUNT DR, 27260, SingleFamily, 1948, 15682, 1032, 47731
3203 SPARROWHAWK DR, 27265, SingleFamily, 1989, 13068, 1346, 133020
1147 WAYSIDE ST, 27260, SingleFamily, 1940, 16117, 924, 39077
811-B LEONARD AV, , , , , , 
211-I SUNSET DR, , , , , , 
508 RICHARDSON AV, 27260, MultiFamily2To4, 1953, 9500, 1344, 78363
106-F THOMAS ST, , , , , , 
1714 GAVIN DR, 27260, SingleFamily, 1972, 9583, 1130, 74028
2402 WAVERLY CT, 27262, SingleFamily, 1952, 11761, 1170, 47412
1724 GAVIN DR, 27260, SingleFamily, 1972, 13068, 1130, 61199
603 EVERETT LN, 27262, SingleFamily, 1950, 8712, 1176, 51869
531 W WARD AV, 27260, SingleFamily, 1947, 8712, 784, 36740
2728-D ANNMOORE CI, , , , , , 
6030-1B RED CEDAR DR, , , , , , 
204 ORVILLE DR, 27260, SingleFamily, 1991, 30927, 1440, 71955
2020 S MAIN ST, , , , , , 
2523-G AMBASSADOR CT, , , , , , 
249-V NORTHPOINT AV, , , , , , 
1605 WORTH ST, 27260, SingleFamily, 1957, 12197, 1263, 53091
649 WESLEY DR, 27260, SingleFamily, 1955, 7840, 1085, 40973
1916 N MAIN ST, , , , , , 
107 BRIGGS PL, 27262, SingleFamily, 1926, 7405, 1260, 75573
2104 BALTIMORE ST, 27263, SingleFamily, 1945, 8712, 728, 39805
1805-A FERN AV, , , , , , 
1616 BRIDGEPORT TE, , , , , , 
2319 EDGEWOOD DR, 27262, SingleFamily, 1936, 22216, 1108, 60283
1021 RICHLAND ST, 27260, MultiFamily2To4, 1955, 7000, 1120, 45598
510 MEREDITH ST, 27260, SingleFamily, 2000, 75, 1056, 47970
1114 N HAMILTON ST, 27262, SingleFamily, 1932, 7841, 2070, 100100
1217 FRANKLIN AV, 27260, SingleFamily, 1988, 5227, 1040, 41545
906 WORTH ST, 27260, SingleFamily, 1958, 39, 1100, 38641
6150-3E RED CEDAR DR, , , , , , 
4420-1C AMETHYST CT, , , , , , 
1316-B DARTMOUTH AV, , , , , , 
299 E FAIRFIELD RD/BRENTWOOD ST, , , , , , 
2524-I SUFFOLK AV, , , , , , 
799 HILLTOP ST/VAIL AV, , , , , , 
1225 GATEHOUSE RD, 27262, SingleFamily, 1988, 13939, 3114, 247246
3518 JOHNSON ST, 27265, SingleFamily, 1966, 12040, 2400, 127820
1417 HAMPSTEAD DR, 27260, SingleFamily, 1990, 24829, 1040, 79240
2010-E STONEYCREEK DR, , , , , , 
1002 BRENTWOOD ST, , , , , , 
1111 PARK ST, 27260, SingleFamily, 1918, 6970, 1160, 47755
2521-A SUFFOLK AV, , , , , , 
1165-2H GLENSTONE TR, , , , , , 
1499 BOUNDARY AV/ASHBURN ST, , , , , , 
398 S COLLEGE DR/LEONARD AV, , , , , , 
1220 DELK DR, 27262, SingleFamily, 1947, 8712, 800, 38312
824 HARTLEY HILL CT, 27265, SingleFamily, 2005, 16552, 1440, 119118
1099 W GREEN DR/VAIL AV, , , , , , 
309 AVERY AV, 27265, SingleFamily, 1950, 7841, 1020, 51266
805 E COMMERCE AV, 27260, SingleFamily, 2003, 8276, 1000, 49722
202-B TAYLOR AV, , , , , , 
418 BURGE PL, 27260, SingleFamily, 1948, 14375, 768, 44521
1513-B EAST AV, 27262, SingleFamily, 1956, 7405, 1098, 53467
2304-B SHADOW VALLEY RD, , , , , , 
1106-A W ENGLISH RD, 27262, Unknown, , , , 68079
4378 KELSO DR, 27265, SingleFamily, 2003, 9583, 3076, 207146
308 GRAND ST, 27260, SingleFamily, 1966, 12197, 1040, 49356
2006-E STONEYCREEK DR, , , , , , 
2789 BETTY CT, 27260, SingleFamily, 2006, 6969, 1198, 81543
533 W PARKWAY AV, 27262, SingleFamily, 1925, 13939, 3100, 232173
1801 S ELM ST, 27260, SingleFamily, 1946, 9702, 728, 63015
800-BLK BAKER RD, , , , , , 
501-E ACADEMY ST, , , , , , 
513 RADFORD ST, 27260, SingleFamily, 1957, 9583, 720, 41313
2320-1E BELLEMEADE ST, , , , , , 
1603 GAVIN DR, 27260, SingleFamily, 1972, 10019, 1238, 70773
520 RADFORD ST, 27260, SingleFamily, 1962, 7405, 988, 48652
3015-E INGLESIDE DR, 27265, Condominium, , , 1187, 102826
513-B SAUNDERS PL, 27260, MultiFamily2To4, 1960, 7200, 1827, 62657
144 ASBILL AV, 27265, SingleFamily, 1973, 15682, 1000, 79041
511 W RAY AV, 27262, SingleFamily, 1925, 6098, 798, 57995
314-A W KEARNS AV, , , , , , 
309 PHILLIPS AV, 27262, SingleFamily, 1903, 14810, 972, 37818
910 WIMBLEDON PL, 27262, SingleFamily, 1964, 15682, 2032, 166378
2409 E LEXINGTON AV, 27262, SingleFamily, 1950, 11326, 1159, 64558
2301 E LEXINGTON AV, 27262, SingleFamily, 1949, 10454, 1115, 50803
522-A WHITE OAK ST, 27260, SingleFamily, 1914, 7841, 1834, 61811
2621-C SUFFOLK AV, , , , , , 
209 KENDALL AV, 27260, SingleFamily, 1953, 16988, 1248, 47989
6145-2F RED CEDAR DR, , , , , , 
1765 WESTCHESTER DR, , , , , , 
507-B RICHARDSON AV, 27260, MultiFamily2To4, 1952, 9450, 1330, 65653
2503 FRIENDS AV, 27260, SingleFamily, 1949, 7405, 784, 37885
4508-1G CROWNE LAKE CI, , , , , , 
401 CRESTLINE DR, 27260, SingleFamily, 1968, 23087, 1424, 95041
6032 EVANS MILL RD, 27265, SingleFamily, 2003, 10019, 1680, 149119
320-B RICHARDSON AV, , , , , , 
1306 WENDOVER DR, 27262, SingleFamily, 1954, 11326, 1050, 79992
1200 S ELM ST, 27260, SingleFamily, 1921, 7841, 644, 36941
509-B E COMMERCE AV, 27260, Condominium, 1968, 275734, 73481, 2588798
2321 E KIVETT DR, , , , , , 
740 MONTLIEU AV, 27260, SingleFamily, 1951, 7841, 896, 43918
2921 ARCHDALE RD, 27263, SingleFamily, 1957, 8712, 720, 56217
911-B SOUTH RD, 27282, SingleFamily, 1964, 39204, 3275, 207908
205 MOTSINGER ST, 27260, SingleFamily, 1947, 30000, 1188, 70295
1416 E RUSSELL AV, 27260, SingleFamily, 1999, 16988, 1120, 72424
903 WORTH ST, 27260, SingleFamily, 1969, 7405, 1168, 42632
2908 SUSSEX DR, 27260, SingleFamily, 2003, 11761, 2332, 140175
917 GRANT ST, 27262, SingleFamily, 1960, 3920, 672, 37379
922-D LAKECREST AV, , , , , , 
700 W WILLIS AV, 27260, SingleFamily, 1964, 11761, 1184, 48944
1501 PINEHURST DR, 27262, SingleFamily, 1958, 18295, 1680, 137092
2916-C CREEKVIEW CT, 27265, Condominium, 1988, 436, 842, 36342
6124 BIRKDALE DR, 27265, SingleFamily, 2002, 4792, 1436, 121330
4813 LEGACY DR, , , , , , 
3850-1C SMOKEY QUARTZ CT, , , , , , 
2320-2C BELLEMEADE ST, , , , , , 
1705-B LEONARD AV, 27260, SingleFamily, 1960, 96267, 11664, 507777
1601 BEAUCREST AV, 27265, SingleFamily, 1950, 18731, 1127, 77101
2520 BELLEMEADE ST, , , , , , 
512 JAMES RD, 27265, SingleFamily, 1973, 14375, 1040, 90199
204 MODEL FARM RD, 27263, SingleFamily, 1963, 10019, 1378, 75267
712 RICHLAND ST, 27260, SingleFamily, 1920, 6970, 903, 37949
405 W PARKWAY AV, 27262, SingleFamily, 1952, 10019, 1292, 99741
914 WIMBLEDON PL, 27262, SingleFamily, 1962, 24872, 2106, 167482
501 N MAIN ST, , , , , , 
2509 WHITE FENCE WY, 27265, SingleFamily, 1992, 14374, 1803, 131707
1508 HOMEWOOD AV, 27262, SingleFamily, 1986, 17424, 2460, 154381
300-1B ARDALE DR, 27260, Condominium, 1998, 436, 1026, 65641
6050-3F RED CEDAR DR, , , , , , 
805 LANGFORD AV, 27260, SingleFamily, 1986, 7841, 960, 44493
909 OLD THOMASVILLE RD, 27260, SingleFamily, 1948, 7500, 888, 62353
1305-A E GREEN DR, 27260, SingleFamily, 1953, 6098, 744, 38024
895 BEAUMONT AV, , , , , , 
2322 BRENTWOOD ST, 27263, SingleFamily, 1924, 20473, 889, 42378
318 AMHURST AV, 27260, SingleFamily, 1957, 7500, 912, 65856
603-G E COMMERCE AV, , , , , , 
399 AMHURST AV/W GREEN DR, , , , , , 
4118 CARROLL RIDGE CT, 27265, SingleFamily, 1993, 12632, 2076, 181753
1606-A LONG ST, , , , , , 
805-3G SHARON WY, , , , , , 
1010 TABOR ST, 27262, SingleFamily, 1950, 7405, 1260, 67624
507 ASHE ST, 27262, SingleFamily, 1955, 12632, 1650, 118388
1165-3H GLENSTONE TR, , , , , , 
1315 BENCINI PL, 27260, SingleFamily, 1922, 3049, 688, 38769
1711 GLENN MEADE DR, 27265, SingleFamily, 1995, 18731, 1916, 193855
3410 CORVAIR DR, 27265, SingleFamily, 1968, 47480, 1458, 118507
1037 N MANOR DR, 27260, SingleFamily, 1948, 14810, 744, 43518
2924 S MAIN ST, , , , , , 
2907 KIPPENSHIRE LN, 27262, Townhouse, 2007, 6969, 2810, 346434
1117 DENNY ST, 27262, SingleFamily, 1953, 21344, 1550, 70733
308 VAIL AV, 27260, SingleFamily, 1920, 5663, 1160, 43862
4503-2A CROWNE LAKE CI, , , , , , 
1205 DELK DR, 27262, SingleFamily, 1950, 9583, 696, 40762
308 HICKORY CHAPEL RD, 27260, SingleFamily, 1939, 9583, 794, 49214
1015 MEADOWBROOK BV, , , , , , 
1901 LAZY LN, 27265, SingleFamily, 1996, 81457, 2648, 214428
416 MACEDONIA WY, 27260, SingleFamily, 2006, 5663, 1416, 103911
406 SPRING RD, 27263, SingleFamily, 1947, 7405, 1303, 52662
3007-F INGLESIDE DR, 27265, Condominium, , , 957, 87168
108-B PRICE ST, , , , , , 
1600-BLK E KIVETT DR, , , , , , 
3761 COTTESMORE DR, 27265, SingleFamily, 2006, 6969, 2644, 221348
802 GORDON ST, 27260, SingleFamily, 1989, 7841, 914, 60318
601-B CHESTNUT DR, 27262, SingleFamily, 1950, 6970, 1675, 60357
3031 N MAIN ST, 27265, SingleFamily, 1948, 13068, 798, 122541
799 W LEXINGTON AV/WESTCHESTER DR, , , , , , 
608 BARBEE AV, , , , , , 
1111 RICHLAND ST, 27260, SingleFamily, 1922, 6970, 964, 37281
238 CRESTWOOD CI, , , , , , 
1424-C E COMMERCE AV, 27260, Condominium, 1968, 55352, 24570, 566679
1111 ASHEBORO ST, 27260, SingleFamily, 2002, 7405, 1040, 48417
503 ROSECREST DR, 27260, SingleFamily, 1995, 11326, 1028, 85491
2528-F SUFFOLK AV, , , , , , 
1529 EASTCHESTER DR, 27265, SingleFamily, 1963, 12632, 1118, 88799
1609 CEDROW DR, 27260, SingleFamily, 1994, 12196, 1197, 80664
3305 SPARROWHAWK DR, 27265, SingleFamily, 1994, 13068, 1978, 160160
3988 KATHERINE WY, 27282, Townhouse, 2000, 8712, 1344, 107339
706 LAKECREST AV, 27265, SingleFamily, 1977, 24829, 1272, 112290
2507 SUFFOLK AV, 27265, SingleFamily, 1970, 12632, 1396, 75417
4300 BARROW RD/SKEET CLUB RD, , , , , , 
1705 BAKER RD, 27263, SingleFamily, 1951, 38332, 697, 43489
100 LINDSAY PL, 27263, SingleFamily, 2001, 12186, 1604, 140956
1436 BAILEY CI, , , , , , 
1800-BLK BRENTWOOD ST, , , , , , 
3513 MORRIS FARM DR, 27282, SingleFamily, 1988, 13068, 1304, 137597
221 WINDLEY ST, 27260, SingleFamily, 1946, 7841, 787, 38562
1518 GRAVES AV, 27260, SingleFamily, 1971, 8712, 928, 50271
2315-A VAN BUREN ST, 27260, SingleFamily, 1973, 8276, 1300, 52133
701-1006 S ELM ST, , , , , , 
404 E LEXINGTON AV, 27262, SingleFamily, 1938, 13504, 1362, 63580
3000-B SHERRILL AV, 27282, Condominium, 1986, 871, 832, 46788
2734 MOSSY MEADOW DR, 27265, Condominium, 2005, 11325, 1927, 159086
603-F2 E COMMERCE AV, , , , , , 
2619 EASTCHESTER DR, , , , , , 
1509 LARKIN ST, 27262, SingleFamily, 1926, 7841, 1050, 42369
1703-B BROCKETT AV, 27260, SingleFamily, 1955, 16117, 1144, 42184
6432 MARY LEE WY, 27265, SingleFamily, 2006, 5663, 2694, 178378
3023 INGLESIDE DR, 27265, MultiFamily2To4, , , 733, 69882
718 SOUTH RD, 27262, SingleFamily, 1934, 9148, 1000, 45321
100-BLK OLD WINSTON RD, , , , , , 
200 E LEXINGTON AV, , , , , , 
2429-311 W GREEN DR, , , , , , 
760 CELTIC CROSSING DR, 27265, SingleFamily, 2006, 6534, 2112, 153118
2799 S MAIN ST/W FAIRFIELD RD, , , , , , 
1899 E COMMERCE AV/BRENTWOOD TE, , , , , , 
79 I-74/US 311/US 311, , , , , , 
115-A OAKWOOD ST, , , , , , 
310 W RAY AV, 27262, SingleFamily, 1906, 10019, 936, 59410
3110 WILMA AV, 27260, SingleFamily, 1959, 14810, 938, 63369
2599 DALLAS AV/MONTLIEU AV, , , , , , 
4059 SAINT JOHNS ST, 27265, SingleFamily, , 9583, , 
799 MANOR DR/CEDROW DR, , , , , , 
607-2H CLARA COX WY, , , , , , 
3800-BLK STAYMAN DR, , , , , , 
502 GRAND ST, 27260, SingleFamily, 1971, 8712, 936, 39355
609 BRIDGES DR, 27262, SingleFamily, 1922, 6970, 972, 36880
1102 BLAIN ST, 27262, SingleFamily, 1931, 7405, 1215, 43698
3002 W ENGLISH RD, , , , , , 
1505 GRAVES AV, 27260, SingleFamily, 1971, 6534, 928, 49022
407-F TAYLOR AV, , , , , , 
304 ALLRED PL, 27262, SingleFamily, 1918, 5227, 1168, 43166
1505 AMBRIDGE CT, 27265, SingleFamily, 1999, 8712, 1138, 85836
3940 LAKE MEADOW DR, 27282, SingleFamily, 2000, 10454, 2165, 184432
2126 CROSSING WY, , , , , , 
